category,last_replier,poster,replies,text,topic,views
Help me!,manofthetrees,COYF,10,I am not very experienced with bonsai so I have decided to buy some material from my local garden centre to practice on. There is no local nursery that supplies bonsai trained material so it will...,Choose a bonsai,5573
Help me!,Youri1995,Luek,5,Here is my Willow Planted it last Year!!!!!,making a willow bonsai,1788
Help me!,,Lothar47,1,"Last year I rooted some cuttings, several Buxus and a dwarf juniper. They have rooted and overwintered well(northern Illinois), but I'm not sure if I seperate and transplant this spring or if I need...",Transplanting cuttings,1547
Help me!,manofthetrees,BonsaiRob,5,"Hi everyone, im new to this site, and to bonsai so please be kind lol

I just bought a bonsai tree from my local garden centre, i think its a buxus/boxwood from the looks of it but i could be wrong,...",Fertilizer,1914
Help me!,Youri1995,skubicka2,10,"Hello!

I got a bonsai as a gift (I believe it is a Juniper). I don't have the greenest of thumbs and think I may have killed my tree.

I got it in July and was watering it every few days to once a...",Is my bonsai dead? ;(,7495
Help me!,Michel Buzz,unclepat_10,2,"where can i find pic with name of bonsai....

which plants of bonsai is the most easy to take care for a beginner like me.

thank you",Where can i find bonsai spesis information????,2203
Basic techniques,Leslie,Leslie,4,,Natal Plum (Carissa),2485
Basic techniques,leatherback,Pinkham,13,"Here are a couple pictures of a beech tree I collected last spring. I was out on a hunt for a birch or two, but had no luck.
there is either a growth on the right side or a curve on the left side of...",collected beech,5162
Basic techniques,BassandBonsai,Leslie,5,,"Need Help Identifying-New Clippings, Please",1566
Basic techniques,Artmyth,Artmyth,2,"I used to live in a rural setting outside of a nearby town, My house hasn't moved but the town has... In what were fields and bushes we now have development. Bulldozers will be moving in again soon...",Collected Scots Pine Pinus Sylvestris,1814
Basic techniques,Pinkham,Pinkham,7,"So....
Today I was doing a little cleaning up in an &quot;ignored&quot; part of my yard and I found what I think is a Manitoba maple. Rather than mow it over I decided to dig it up. It's REALLY not a great time...",Manitoba maple,2376
Basic techniques,leatherback,babybirdsfunk,27,"I just bought a dwarf Hawaiian Umbrella tree bonsai, and would like to learn how to perform Ne-agari,or &quot;banyan roots&quot; in the future.

I am familiar that the concept is lower the soil little by...",How to perform Ne-agari,7397
Tools,ivanbunny,ivanbunny,10,"i am beginner at bonsai and all tools for bonsai listed on this page seam kinda
unnecessary for a beginner so could you plz make me a list of tools i should definitely have",tools for beginner,9017
Tools,Vnolan,Vnolan,4,My family owns and runs a metal scrap yard. We see copper and aluminum wire all the time. And not old insulated wire (though we see that too) but nice shiny wire of all thicknesses. My question:...,Bonsai wire,8405
Tools,Leslie,sai,8,Turn table is absolutely necessary if we have to work on big bonsai which is usually heavy and difficult to rotate to see all sides. Turn table enables us to view all sides and give an opportunity to...,Use of Turn table,11.7k
Tools,James May,James May,4,"I recently purchased some kurobara camellia oil from Hollow Creek Bonsai.

It is used to clean and preserve your pots and tools.

&lt;broken link&gt;

I used isopropyl alcohol and a scrubbing...",Kurobara Camellia Oil Review,5774
Tools,Pinkham,Pinkham,7,"Hey folks,
This is what happens when I have too much time on my hands...
Root rakes made from old forks.",fork root rakes,11.6k
Progressions,BassandBonsai,babybirdsfunk,18,"I just got this tree in the mail today and was so excited, I pruned it before taking a picture(it looked just like it did on Amazon.com). One of the branches I meant to keep, came off and I attempted...",Hawaiian Umbrella Tree,4884
Progressions,Leslie,babybirdsfunk,8,"this is an olive that someone gave me, grown from a clipping. can anyone help me identify the species, or give me any insight into the type of olive?

here is a photo that is actually in focus.",Olive bonsai tree species,1451
Progressions,BassandBonsai,leatherback,9,"Dear All,

Today I was helping some friends with their house renovation. They had made good progressions with the removal of the taxus hedgerow. Only stems of 2-3 inches thick,a nd maybe 4-7 inches...",Taxus Baccata,2159
Progressions,Leslie,Pinkham,7,Here is my first attempt at styling a juniper. I had a lot of help from what I guess is my bonsai mentor..pic one is the tree when I got it. pic 2 is it after initial pruning.,Styling a Juniper,1484
Progressions,Youri1995,dragon,10,"gday guy's and gal's
this is a picture of a wild olive tree i got from a friend in plastic bag
when it got here i potted it up it is
9cm at the base of trunk
and 15cm high
at moment just letting...",wild olive,5020
Progressions,babybirdsfunk,babybirdsfunk,11,"here, i have the dwarf species of pomegranate. i bought it as a dense shrub from a nursery and pruned it back pretty to what is visible in the first and second picture. it took a while to bounce back,...",Pomegranate,3989
Progressions,dragon,dragon,6,"gday again this tree was given to me as a stick it had no foliage what so ever
it has been nurtured back with a stong feeding program and new soil every month to keep it fresh just letting it sit for...",Hawaiian torch,1638
Progressions,BassandBonsai,emirhand,4,"I am a new beginner hello from Turkey
and this is my first work
That's why for me a very valuable ideas
best regards

Emirhan DAĞISTANLI",pinus,1941
Progressions,BassandBonsai,celloninja42,5,"Hello All!

About a month ago I transplaned a white fig sapling from my back yard in Arizona. I brought it out with me to San Diego where it has taken well to the weather. It has doubled in size...",White fig,5037
Advanced techniques,Xavier140,Xavier140,5,"Hello all, as you can probably tell, I'm new here....
But, my grandmother had gotten me a two or three year old dwarfed Hawaiian Umbrella. It was already thoroughly trained so there wasn't much I...",Which is Better?,1912
Advanced techniques,sikadelic,leatherback,5,"Just thought this might be usefull to some here. I wrote down my experiences with growing nebari for young plants, in the hope it may help others....",Growing nebari on youngsters,2419
Advanced techniques,leatherback,Otaku,4,"Here we go again! Thanks leatherback for that great article on trunk development! I also read the main article linked with it. Possibly a newb question, but does anyone just take a tree when its...",trunk development?,2959
Advanced techniques,Pinkham,Pinkham,18,"Hey everyone,
Has anyone here ever tried a phoenix graft?
I think later this spring I am going to try doing one, but not a traditional one.
I am going to use a few weeping willow whips.I started to...",Thinking about a phoenix graft.,6758
Advanced techniques,Tiger313,Leslie,21,,Determining Size of Rock for Root Over Rock,8844
Advanced techniques,leatherback,sai,9,When we have to make jin or shari on branches or trunk selected on a bonsai we need to apply lime sulphur. Lime sulphur is not always available in shops. But sulphur can be easily found. How can we...,Use of Lime sulphur in jin and shari creation,4489
Advanced techniques,hein,hein,4,"Hey there everyone

I am new to the forum so please excuse me if this question is repeated.

I have a couple (10 or so) celtis africana trees. They are all a year old. What I need to know is how do I...",tree fusion,2991
Advanced techniques,fireflyspc,Ice_Templar04,1,"I've heard that it is bad to use a Japanese maple as a bonsai if it is grafted to a different root stock. (different growth rates, grafting scars, etc..) My understanding is that most Jmaples are...",Fixing a Grafting problem.,2617
Advanced techniques,sikadelic,joncoh101,7,Hey guys havent been on this site in literally nearly 3 years! CRAZY! Needless to say im still bonsaing. I need some advice on creating neagari on a chinese elm. What methods do you guys reccomend? I...,Neagari chinese elm,2024
Advanced techniques,persimmon,persimmon,1,"Spring has come, and my royagaki has lots of little flowers.
Question is, are they male or female?",Male or female?,2337
Advanced techniques,manofthetrees,1990eam,8,"Hello! I've been wondering if you could succesfuly graft 2 different kinds of japanese maples toghether. Say, Shin Deshojo and Purple Ghost. What do you think? Thank you!",Can you graft 2 different maples together?,3505
Advanced techniques,marke,Pinkham,22,"This is something I read about last year, but have yet to try it since I have access to all the moss I could ever need.
mix moss( either dry or wet) and milk or yogurt together in a blender until it's...",How to cultivate moss,10k
Advanced techniques,joncoh101,hein,20,"Hey there all bonsai friends

I have a wild olive at home with a potential jin. I don't own any jin tools, so I want to know how I can jin without the tools. I have never attempted a jin, so I have no...",help with jin,8622
Advanced techniques,Youri1995,joncoh101,6,Hey guys i heard about a technique used during propagation that promotes the growth of roots on the cuttings easier. It is a plate that you put under your pots to heat them up because it is ideal for...,Pot heating plates,1957
Advanced techniques,,fireflyspc,1,I have a Shohin Chinese Elm that I rescued from Home Depot last February. It is a &quot;mass produced&quot; tree which was almost dead and I took pity on it. I replaced the soil with a good Bonsai mix in March...,Wintering for Chinese Elm,3180
Pruning and wiring,Pinkham,Pinkham,2,"This tree has responded really well to it's chopping last week. I think it was a very good decision to chop the trunks....
I have to admit after I did it I was afraid that I'd made a bad decision. Now...",Staghorn gone wild.,1530
Pruning and wiring,BassandBonsai,Pinkham,5,I dug this up last year.I thought it was interesting . I decided this spring that the trunk was awful and it needed to go(both of them). I cut both trunks off a few days ago and it has already started...,Stag horn Sumac,3326
Pruning and wiring,BassandBonsai,Pinkham,4,"This thing is out of control. I have clipped branches off this thing already 3 times this year. I was told by a guy &quot;who knew about bonsai&quot; that this tree wouldn't back bud. hhhmmmm....
the branches...",eastern redbud pruning.,4513
Pests and diseases,MWid,Bulldog4675,1,Mealy bugs are eating my desert rose down to nothing!!! I diluted rubbing alcohol with water and applied yesterday. Whats the dilution? How often do I apply. Is there other solutions that work better...,Mealy bugs!!!!,1638
Pests and diseases,cleaner626,BassandBonsai,5,"I've also called them roly-polies and pill bugs. They seem to have gotten into one of my outdoor pots, and now I've found them in a prenma microfolia I got from my bonsai club.
I've elected to leave...",Wood lice,2748
Pests and diseases,MalloBonsai66,MalloBonsai66,3,"Hi all,
I recently bought a Dwarf Jade only to notice that some sort of insect (they resemble, and are most likely, root mealybugs) comes out of the soil when I water. I read that Jades are very...",Insecticide for Dwarf Jade (Portulacaria),11.4k
Pests and diseases,Leslie,,14,"This is from the same site as the home remedy post. This is natural insect control. It's really great information.

http://www.ghorganics.com/page9.html",Natural insect control.,5149
Pests and diseases,joncoh101,joncoh101,8,"Guys, i have noticed that the organic pellet fertiliser i use on my plants is enjoyed by the local cats in my neighbourhood.. I have seen the piles of fertiliser dropping in height aswell as the soil...",CATS!,1579
Pests and diseases,Leslie,,7,,Fungus Gnat on Fukien Tea Seedlings,3349
Pests and diseases,Leslie,,30,,Scale? on Ficus(Too Little)Benjamina,10.7k
Pests and diseases,Leslie,,4,,English Ivy with Spider Mites!,1854
Pests and diseases,BassandBonsai,BassandBonsai,17,"I have a very old, very large weeping willow tree in my back yard. There's a creek back there that provides it with plenty of water, and it being a full-size in-ground tree, my family has never really...",Backyard willow tree,6783
Pests and diseases,Leslie,leatherback,4,"Dear All,

Yesterday when taking the trimmer to our hedge, I noticed that one of the Thuja trees had formed an albino branch. A first to me, as I had never seen this before. Is this common? Is there a...",Albino branches in Thuja Occidentalis,2271
Pests and diseases,MWid,MalloBonsai66,1,"I have a Dwarf Jade (Portulacaria afra) and would like some help with the signs of root mealybugs. I see white stuff on some bits of soil and fertilizer pellets and every time I water, many bugs that...",Mealybug Control,1655
Pests and diseases,Pinkham,ivajam,3,"Hi,
I noticed a white powdery mildew on the trunk of my chinese juniper.
I thought it was only from water but it seems to be spreading up the trunk
Any idea what that is and how to get rid of it?...",white powdery mildew,11.9k
Pests and diseases,MWid,hein,12,"Hey all

How are you guys doing. Time really has flown. I have been away and super busy.

I got back home after a couple of months and then I see it. My ficus natalensis has black leafs. On some...",Black Leaf Ficus,8140
Pests and diseases,Youri1995,emix,7,"I &quot;still&quot; have two Carmona , still because one is wonderfull ( nice small green and vigurous leafs , flowering daily ) , but the other is sik or upset : it has just few leafs , most of them turning to...",Sik Carmona,1883
